type,index,text,start,end,duration,importance,confidence,sentence_index
word,236,the,85.399,85.499,0.100,low,0.700,20
word,237,NIC,85.619,85.920,0.301,medium,0.852,20
word,238,receives,85.960,86.280,0.320,low,0.719,20
word,239,a,86.341,86.361,0.020,low,0.994,20
word,240,"packet,",86.401,87.002,0.601,low,0.983,20
word,241,it,87.022,87.082,0.060,low,0.976,20
word,242,doesn't,87.122,87.362,0.240,low,0.746,20
word,243,allocate,87.422,87.763,0.341,low,0.641,20
word,244,new,87.823,87.963,0.140,low,0.916,20
word,245,memory.,88.003,88.304,0.301,low,0.968,20
word,246,"Instead,",88.764,89.125,0.361,medium,0.998,21
word,247,the,89.505,89.626,0.121,low,0.627,21
word,248,NIC,89.766,90.106,0.340,medium,0.846,21
word,249,uses,90.247,90.507,0.260,low,0.783,21
word,250,Direct,90.547,91.008,0.461,low,0.890,21
word,251,Memory,91.068,91.368,0.300,low,0.931,21
word,252,Access,91.449,91.749,0.300,low,0.766,21
word,253,or,91.929,92.009,0.080,low,0.775,21
word,254,DMA,92.090,92.510,0.420,high,0.812,21
word,255,to,92.871,92.991,0.120,low,0.980,21
word,256,stream,93.051,93.412,0.361,low,0.960,21
word,257,the,93.472,93.552,0.080,low,0.756,21
word,258,incoming,93.612,93.992,0.380,low,0.894,21
word,259,bytes,94.053,94.313,0.260,low,0.774,21
word,260,straight,94.593,94.974,0.381,low,0.675,21
word,261,from,95.034,95.154,0.120,low,0.748,21
word,262,the,95.214,95.274,0.060,low,0.998,21
word,263,wire,95.315,95.575,0.260,low,0.950,21
word,264,directly,95.755,96.196,0.441,low,0.852,21
word,265,into,96.256,96.456,0.200,low,0.975,21
word,266,a,96.516,96.536,0.020,low,0.969,21
word,267,free,96.657,96.857,0.200,low,0.879,21
word,268,buffer,96.897,97.177,0.280,low,0.965,21
word,269,in,97.238,97.278,0.040,low,0.974,21
word,270,the,97.318,97.378,0.060,low,0.989,21
word,271,mempool.,97.418,98.179,0.761,low,0.924,21
word,272,no,98.179,98.520,0.341,high,0.710,22
word,273,CPU,98.580,98.920,0.340,medium,0.805,22
word,274,"involvement,",98.961,99.441,0.480,low,0.822,22
word,275,no,99.882,100.063,0.181,medium,0.894,22
word,276,dynamic,100.123,100.503,0.380,low,0.930,22
word,277,memory,100.544,100.784,0.240,low,0.862,22
word,278,"allocation,",100.824,101.285,0.461,low,0.807,22
word,279,no,101.826,102.046,0.220,high,0.893,22
word,280,unnecessary,102.187,102.708,0.521,low,0.815,22
word,281,copies.,102.768,103.128,0.360,medium,0.898,22
word,282,From,103.950,104.090,0.140,medium,0.703,23
word,283,this,104.130,104.351,0.221,low,0.680,23
word,284,moment,104.431,104.711,0.280,low,0.899,23
word,285,"onward,",104.812,105.152,0.340,low,0.970,23
word,286,every,105.453,105.753,0.300,low,0.821,23
word,287,stage,105.814,106.094,0.280,low,0.801,23
word,288,of,106.134,106.194,0.060,low,0.974,23
word,289,packet,106.254,106.535,0.281,low,0.988,23
word,290,processing,106.555,107.036,0.481,low,0.939,23
word,291,works,107.116,107.397,0.281,low,0.990,23
word,292,with,107.437,107.557,0.120,low,0.980,23
word,293,the,107.597,107.677,0.080,low,0.784,23
word,294,same,107.757,108.018,0.261,low,0.852,23
word,295,packet,108.098,108.378,0.280,low,0.992,23
word,296,buffer.,108.418,108.719,0.301,low,0.829,23
word,297,The,109.501,109.601,0.100,low,0.760,24
word,298,passer,109.641,110.022,0.381,low,0.902,24
word,299,receives,110.062,110.382,0.320,low,0.840,24
word,300,the,110.422,110.502,0.080,low,0.847,24
word,301,mBuff.,110.603,111.324,0.721,low,0.984,24
word,302,The,111.344,111.424,0.080,low,0.781,25
word,303,classifier,111.464,112.085,0.621,low,0.938,25
word,304,receives,112.126,112.466,0.340,low,0.782,25
word,305,the,112.506,112.606,0.100,low,0.798,25
word,306,same,112.647,112.847,0.200,low,0.807,25
word,307,mBuff.,112.967,113.248,0.281,low,0.987,25
word,308,The,113.869,113.989,0.120,low,0.763,26
word,309,firewall,114.029,114.550,0.521,low,0.852,26
word,310,receives,114.730,115.051,0.321,low,0.742,26
word,311,the,115.091,115.191,0.100,low,0.700,26
word,312,same,115.211,115.412,0.201,low,0.814,26
word,313,mBuff.,115.532,115.813,0.281,low,0.950,26
word,314,The,116.394,116.474,0.080,low,0.805,27
word,315,routing,116.514,116.834,0.320,low,0.921,27
word,316,logic,116.875,117.155,0.280,low,0.942,27
word,317,receives,117.416,117.736,0.320,low,0.863,27
word,318,the,117.776,117.896,0.120,low,0.611,27
word,319,same,117.957,118.177,0.220,low,0.860,27
word,320,mBuff.,118.297,119.239,0.942,low,0.990,27
word,321,Each,119.239,119.580,0.341,low,0.895,28
word,322,component,119.660,120.181,0.521,low,0.957,28
word,323,only,120.361,120.602,0.241,medium,0.614,28
word,324,receives,120.642,121.043,0.401,low,0.685,28
word,325,a,121.143,121.183,0.040,low,0.975,28
word,326,handle,121.243,121.564,0.321,low,0.752,28
word,327,that,121.584,121.924,0.340,low,0.832,28
word,328,points,122.044,122.325,0.281,low,0.646,28
word,329,to,122.365,122.465,0.100,low,0.822,28
word,330,the,122.505,122.585,0.080,low,0.744,28
word,331,original,122.706,123.066,0.360,low,0.763,28
word,332,packet,123.127,123.407,0.280,low,0.988,28
word,333,buffer.,123.427,123.708,0.281,low,0.998,28
word,334,The,124.229,124.309,0.080,low,0.988,29
word,335,packet,124.349,124.649,0.300,low,0.973,29
word,336,buffer,124.670,124.950,0.280,low,0.887,29
word,337,never,125.191,125.411,0.220,low,0.870,29
word,338,moves.,125.471,126.613,1.142,medium,0.804,29
word,339,Even,126.633,126.794,0.161,low,0.886,30
word,340,if,126.834,126.874,0.040,low,0.941,30
word,341,a,126.954,126.974,0.020,low,0.903,30
word,342,router,127.014,127.295,0.281,low,0.906,30
word,343,needs,127.315,127.495,0.180,low,0.907,30
word,344,to,127.535,127.615,0.080,low,0.812,30
word,345,modify,127.675,128.096,0.421,low,0.930,30
word,346,a,128.136,128.156,0.020,low,0.810,30
word,347,header,128.216,128.537,0.321,low,0.927,30
word,348,or,128.557,128.777,0.220,medium,0.866,30
word,349,change,128.878,129.118,0.240,low,0.856,30
word,350,an,129.138,129.218,0.080,low,0.826,30
word,351,"address,",129.258,129.599,0.341,low,0.939,30
word,352,it,130.100,130.180,0.080,low,0.820,30
word,353,modifies,130.260,130.721,0.461,low,0.925,30
word,354,the,130.761,130.861,0.100,low,0.762,30
word,355,bytes,130.902,131.182,0.280,low,0.844,30
word,356,right,131.443,131.703,0.260,low,0.831,30
word,357,there,131.783,131.984,0.201,low,0.816,30
word,358,in,132.024,132.084,0.060,low,0.990,30
word,359,place.,132.164,132.424,0.260,low,0.856,30
word,360,They're,133.006,133.206,0.200,low,0.822,31
word,361,still,133.226,133.466,0.240,low,0.896,31
word,362,sitting,133.507,133.787,0.280,low,0.864,31
word,363,exactly,133.827,134.529,0.702,medium,0.881,31
word,364,where,134.549,134.749,0.200,low,0.900,31
word,365,the,134.789,134.889,0.100,low,0.915,31
word,366,NIC,134.949,135.330,0.381,medium,0.716,31
word,367,originally,135.430,135.811,0.381,low,0.760,31
word,368,placed,135.871,136.092,0.221,low,0.733,31
word,369,them.,136.152,136.873,0.721,low,0.941,31
word,370,This,136.873,137.194,0.321,low,0.892,32
word,371,is,137.274,137.334,0.060,low,0.742,32
word,372,the,137.374,137.514,0.140,low,0.590,32
word,373,key,137.614,137.875,0.261,medium,0.970,32
word,374,idea,137.995,138.275,0.280,low,0.993,32
word,375,behind,138.355,138.636,0.281,low,0.974,32
word,376,zero,138.696,138.936,0.240,low,0.971,32
word,377,copy.,138.976,139.257,0.281,medium,0.938,32
word,378,The,139.918,140.018,0.100,low,0.819,33
word,379,packet,140.058,140.378,0.320,low,0.994,33
word,380,isn't,140.438,140.599,0.161,low,0.802,33
word,381,travelling,140.639,140.959,0.320,low,0.821,33
word,382,through,140.999,141.160,0.161,low,0.928,33
word,383,the,141.200,141.260,0.060,low,0.998,33
word,384,system.,141.300,141.580,0.280,low,0.811,33
word,385,Only,142.081,142.301,0.220,medium,0.842,34
word,386,the,142.341,142.462,0.121,low,0.719,34
word,387,pointer,142.522,142.942,0.420,low,0.826,34
word,388,is.,143.002,143.103,0.101,low,0.891,34
word,389,Passing,143.703,144.024,0.321,low,0.913,35
word,390,a,144.084,144.124,0.040,low,0.876,35
word,391,pointer,144.164,144.545,0.381,low,0.854,35
word,392,is,144.685,144.745,0.060,low,0.730,35
word,393,incredibly,144.805,145.406,0.601,low,0.880,35
word,394,cheap.,145.466,146.027,0.561,low,0.856,35
word,395,It's,146.047,146.147,0.100,low,0.921,36
word,396,typically,146.187,146.548,0.361,low,0.769,36
word,397,just,146.608,146.848,0.240,low,0.825,36
word,398,an,146.908,146.988,0.080,low,0.613,36
word,399,8-byte,147.008,147.629,0.621,medium,0.706,36
word,400,memory,147.689,147.990,0.301,low,0.879,36
word,401,address,148.030,148.350,0.320,low,0.873,36
word,402,on,148.491,148.571,0.080,low,0.848,36
word,403,a,148.611,148.631,0.020,low,0.711,36
word,404,64-bit,148.651,149.392,0.741,medium,0.784,36
word,405,system,149.432,149.733,0.301,low,0.751,36
word,406,compared,150.193,150.594,0.401,low,0.963,36
word,407,to,150.634,150.734,0.100,low,0.997,36
word,408,copying,150.774,151.115,0.341,low,0.903,36
word,409,hundreds,151.155,151.635,0.480,low,0.869,36
word,410,or,151.796,151.856,0.060,low,0.748,36
word,411,even,151.936,152.096,0.160,low,0.928,36
word,412,thousands,152.116,152.737,0.621,low,0.713,36
word,413,of,152.797,152.857,0.060,low,0.999,36
word,414,bytes,152.937,153.198,0.261,low,0.932,36
word,415,across,153.318,153.578,0.260,low,0.932,36
word,416,system,153.618,153.919,0.301,low,0.816,36
word,417,boundaries,153.959,154.380,0.421,low,0.831,36
word,418,for,154.480,154.620,0.140,low,0.659,36
word,419,every,154.820,155.041,0.221,low,0.601,36
word,420,packet.,155.101,155.942,0.841,low,0.993,36
word,421,Now,155.942,156.222,0.280,low,0.701,37
word,422,imagine,156.302,156.643,0.341,low,0.921,37
word,423,processing,156.703,157.144,0.441,low,0.916,37
word,424,millions,157.324,157.724,0.400,low,0.742,37
word,425,of,157.784,157.844,0.060,low,0.958,37
word,426,packets,157.905,158.225,0.320,low,0.953,37
word,427,every,158.285,158.465,0.180,low,0.757,37
word,428,second.,158.505,158.786,0.281,low,0.880,37
word,429,If,159.527,159.587,0.060,low,0.972,38
word,430,every,159.767,159.987,0.220,low,0.833,38
word,431,packet,160.067,160.388,0.321,low,0.921,38
word,432,required,160.428,160.828,0.400,low,0.858,38
word,433,multiple,160.928,161.349,0.421,low,0.910,38
word,434,memory,161.369,161.649,0.280,low,0.893,38
word,435,"copies,",161.709,162.050,0.341,low,0.905,38
word,436,the,162.470,162.571,0.101,low,0.842,38
word,437,CPU,162.631,163.071,0.440,high,0.865,38
word,438,would,163.131,163.291,0.160,low,0.919,38
word,439,spend,163.332,163.592,0.260,low,0.793,38
word,440,most,163.752,164.032,0.280,low,0.796,38
word,441,of,164.093,164.153,0.060,low,0.998,38
word,442,its,164.233,164.353,0.120,low,0.727,38
word,443,time,164.393,164.633,0.240,low,0.738,38
word,444,moving,164.653,165.094,0.441,medium,0.779,38
word,445,bytes,165.174,165.434,0.260,low,0.863,38
word,446,instead,165.695,165.975,0.280,low,0.885,38
word,447,of,166.015,166.075,0.060,low,0.944,38
word,448,making,166.155,166.415,0.260,low,0.854,38
word,449,forwarding,166.496,166.876,0.380,low,0.987,38
word,450,decisions.,166.916,167.337,0.421,low,0.906,38
word,451,By,168.058,168.198,0.140,medium,0.910,39
word,452,eliminating,168.298,168.799,0.501,low,0.911,39
word,453,those,168.859,169.019,0.160,low,0.864,39
word,454,"copies,",169.099,169.439,0.340,low,0.760,39
word,455,zero,169.900,170.220,0.320,medium,0.953,39
word,456,copy,170.260,170.601,0.341,low,0.965,39
word,457,dramatically,170.621,171.362,0.741,low,0.705,39
word,458,reduces,171.442,171.842,0.400,low,0.878,39
word,459,CPU,171.903,172.263,0.360,medium,0.844,39
word,460,"overhead,",172.343,172.704,0.361,low,0.881,39
word,461,lowers,173.084,173.445,0.361,medium,0.839,39
word,462,memory,173.505,173.805,0.300,low,0.987,39
word,463,bandwidth,173.845,174.185,0.340,low,0.579,39
word,464,"usage,",174.326,174.606,0.280,low,0.911,39
word,465,improves,175.127,175.527,0.400,low,0.863,39
word,466,cache,175.607,175.848,0.241,low,0.714,39
word,467,"efficiency,",175.888,176.448,0.560,low,0.943,39
word,468,and,176.809,176.889,0.080,low,0.978,39
word,469,enables,176.969,177.350,0.381,low,0.771,39
word,470,applications,177.430,178.010,0.580,low,0.918,39
word,471,like,178.091,178.251,0.160,low,0.885,39
word,472,DPDK,178.311,178.952,0.641,high,0.801,39
word,473,to,179.092,179.192,0.100,low,0.998,39
word,474,achieve,179.272,179.572,0.300,low,0.915,39
word,475,tens,179.693,180.013,0.320,medium,0.854,39
word,476,or,180.393,180.454,0.061,low,0.680,39
word,477,even,180.494,180.794,0.300,low,0.810,39
word,478,hundreds,180.834,181.415,0.581,low,0.833,39
word,479,of,181.475,181.535,0.060,low,0.752,39
word,480,gigabits,181.595,181.996,0.401,low,0.942,39
word,481,per,182.056,182.196,0.140,low,0.974,39
word,482,second,182.256,182.576,0.320,low,0.919,39
word,483,on,182.716,182.777,0.061,low,0.914,39
word,484,modern,182.857,183.177,0.320,low,0.919,39
word,485,hardware.,183.217,183.938,0.721,low,0.741,39
word,486,"Finally,",183.938,184.419,0.481,low,0.862,40
word,487,when,184.619,184.760,0.141,low,0.915,40
word,488,packet,184.840,185.140,0.300,low,0.964,40
word,489,processing,185.180,185.601,0.421,low,0.869,40
word,490,is,185.661,185.721,0.060,low,0.566,40
word,491,"complete,",185.781,186.182,0.401,low,0.912,40
word,492,the,186.583,186.683,0.100,low,0.889,40
word,493,NIC,186.803,187.204,0.401,medium,0.822,40
word,494,transmits,187.284,187.845,0.561,low,0.935,40
word,495,the,187.905,187.985,0.080,low,0.998,40
word,496,packet,188.025,188.346,0.321,low,0.979,40
word,497,using,188.506,188.707,0.201,low,0.972,40
word,498,the,188.767,188.847,0.080,low,0.555,40
word,499,exact,188.967,189.428,0.461,low,0.798,40
word,500,same,189.468,189.668,0.200,low,0.994,40
word,501,memory,189.729,190.029,0.300,low,0.840,40
word,502,buffer.,190.089,190.370,0.281,low,0.960,40
word,503,After,191.151,191.352,0.201,low,0.985,41
word,504,"transmission,",191.412,191.933,0.521,low,0.856,41
word,505,that,192.313,192.514,0.201,low,0.916,41
word,506,buffer,192.594,192.894,0.300,low,0.993,41
word,507,is,192.914,193.095,0.181,low,0.676,41
word,508,returned,193.175,193.515,0.340,low,0.884,41
word,509,to,193.535,193.596,0.061,low,0.966,41
word,510,the,193.636,193.716,0.080,low,0.831,41
word,511,"mempool,",193.756,194.197,0.441,low,0.829,41
word,512,ready,194.457,194.678,0.221,low,0.873,41
word,513,to,194.738,194.798,0.060,low,0.920,41
word,514,be,194.858,194.938,0.080,low,0.918,41
