old_path,content_type,title,current_url,destination,new_url,status,migration_notes
_editorials/tree/invert-binary-tree.md,Editorial,Invert Binary Tree Solution,/editorials/invert-binary-tree/,editorials/,/editorials/invert-binary-tree/,MIGRATE,
_editorials/tree/max-depth-binary-tree.md,Editorial,Max Depth Binary Tree Solution,/editorials/max-depth-binary-tree/,editorials/,/editorials/max-depth-binary-tree/,MIGRATE,
_editorials/tree/same-tree.md,Editorial,Same Tree Solution,/editorials/same-tree/,editorials/,/editorials/same-tree/,MIGRATE,
_editorials/tree/subtree-of-another-tree.md,Editorial,Subtree of Another Tree Solution,/editorials/subtree-of-another-tree/,editorials/,/editorials/subtree-of-another-tree/,MIGRATE,problem_id 572 not in problems.yml — add the problem or drop the link
_editorials/tree/symmetrical-tree.md,Editorial,Symmetrical Tree Solution,/editorials/symmetrical-tree/,editorials/,/editorials/symmetrical-tree/,MIGRATE,
_includes/breadcrumbs.html,Repo doc,,,(not published),,KEEP,Excluded from the built site
_includes/problem-card.html,Repo doc,,,(not published),,KEEP,Excluded from the built site
_layouts/default.html,Repo doc,,,(not published),,KEEP,Excluded from the built site
_layouts/editorial.html,Repo doc,,,(not published),,KEEP,Excluded from the built site
_layouts/learning.html,Repo doc,,,(not published),,KEEP,Excluded from the built site
_layouts/post.html,Repo doc,,,(not published),,KEEP,Excluded from the built site
_layouts/project.html,Repo doc,,,(not published),,KEEP,Excluded from the built site
_learning/4g-5g/index.md,Section index,4G/5G Networks,/learning/4g-5g/,(derived),/learning/4g-5g/,REVIEW,"Mostly derivable from domain/track metadata; keep only bespoke prose | URL preserved — content largely derived, keep bespoke prose only"
_learning/COPILOT_RULES.md,Internal doc,Copilot_Rules,/learning/COPILOT_RULES/,(exclude),,REVIEW,Currently published at /learning/COPILOT_RULES/ — should not be a public page | Intentionally de-published; add a redirect only if it has inbound links
_learning/ai-ml/ai-ml-roadmap.md,Roadmap,AI & Machine Learning Roadmap,/learning/ai-ml/ai-ml-roadmap/,tracks/,/learning/ai-ml/ai-ml-roadmap/,CONVERT,Becomes a track record + derived roadmap view; hand-built HTML retired
_learning/ai-ml/index.md,Section index,AI & ML,/learning/ai-ml/,(derived),/learning/ai-ml/,REVIEW,"Mostly derivable from domain/track metadata; keep only bespoke prose | URL preserved — content largely derived, keep bespoke prose only"
_learning/ai-ml/part1-foundation/p1-m01-python.md,Concept,P1-M01 - Python Programming Fundamentals,/learning/ai-ml/part1-foundation/p1-m01-python/,concepts/,/learning/ai-ml/part1-foundation/p1-m01-python/,MIGRATE,"HTML-heavy (460 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part1-foundation/p1-m02-numpy-pandas.md,Concept,P1-M02 - NumPy & Pandas Data Toolkit,/learning/ai-ml/part1-foundation/p1-m02-numpy-pandas/,concepts/,/learning/ai-ml/part1-foundation/p1-m02-numpy-pandas/,MIGRATE,"HTML-heavy (639 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part1-foundation/p1-m03-dev-essentials.md,Concept,"P1-M03 - Developer Essentials: Git, CLI, APIs & Async",/learning/ai-ml/part1-foundation/p1-m03-dev-essentials/,concepts/,/learning/ai-ml/part1-foundation/p1-m03-dev-essentials/,MIGRATE,"HTML-heavy (562 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part1-foundation/p1-m04-sql-fastapi.md,Concept,P1-M04 - SQL Basics & FastAPI,/learning/ai-ml/part1-foundation/p1-m04-sql-fastapi/,concepts/,/learning/ai-ml/part1-foundation/p1-m04-sql-fastapi/,MIGRATE,"HTML-heavy (469 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part2-stats-eda/p2-m05-stats-viz.md,Concept,"P2-M05 - Statistics, EDA & Visualisation",/learning/ai-ml/part2-stats-eda/p2-m05-stats-viz/,concepts/,/learning/ai-ml/part2-stats-eda/p2-m05-stats-viz/,MIGRATE,"HTML-heavy (459 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part2-stats-eda/p2-m06-ml-workflow.md,Concept,P2-M06 - ML Workflow & Feature Engineering,/learning/ai-ml/part2-stats-eda/p2-m06-ml-workflow/,concepts/,/learning/ai-ml/part2-stats-eda/p2-m06-ml-workflow/,MIGRATE,Some inline HTML (116 tags)
_learning/ai-ml/part3-classical-ml/p3-m07-regression.md,Concept,"P3-M07 - Regression: Linear, Ridge, Lasso & Polynomial",/learning/ai-ml/part3-classical-ml/p3-m07-regression/,concepts/,/learning/ai-ml/part3-classical-ml/p3-m07-regression/,MIGRATE,Some inline HTML (128 tags)
_learning/ai-ml/part3-classical-ml/p3-m08-classification.md,Concept,"P3-M08 - Classification: Decision Trees, Random Forest & SVM",/learning/ai-ml/part3-classical-ml/p3-m08-classification/,concepts/,/learning/ai-ml/part3-classical-ml/p3-m08-classification/,MIGRATE,Some inline HTML (100 tags)
_learning/ai-ml/part3-classical-ml/p3-m09-ensembles.md,Concept,"P3-M09 - Ensembles: XGBoost, LightGBM, SMOTE & Optuna",/learning/ai-ml/part3-classical-ml/p3-m09-ensembles/,concepts/,/learning/ai-ml/part3-classical-ml/p3-m09-ensembles/,MIGRATE,Some inline HTML (100 tags)
_learning/ai-ml/part3-classical-ml/p3-m10-unsupervised.md,Concept,"P3-M10 - Unsupervised Learning: K-Means, PCA & t-SNE",/learning/ai-ml/part3-classical-ml/p3-m10-unsupervised/,concepts/,/learning/ai-ml/part3-classical-ml/p3-m10-unsupervised/,MIGRATE,Some inline HTML (105 tags)
_learning/ai-ml/part4-llm-apis/p4-m11-prompting.md,Concept,P4-M11 - Prompting Fundamentals,/learning/ai-ml/part4-llm-apis/p4-m11-prompting/,concepts/,/learning/ai-ml/part4-llm-apis/p4-m11-prompting/,MIGRATE,"HTML-heavy (436 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part4-llm-apis/p4-m12-structured-outputs.md,Concept,P4-M12 - Structured Outputs & Tool Calling,/learning/ai-ml/part4-llm-apis/p4-m12-structured-outputs/,concepts/,/learning/ai-ml/part4-llm-apis/p4-m12-structured-outputs/,MIGRATE,"HTML-heavy (565 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part4-llm-apis/p4-m13-streaming-state.md,Concept,P4-M13 - Streaming & Conversation State,/learning/ai-ml/part4-llm-apis/p4-m13-streaming-state/,concepts/,/learning/ai-ml/part4-llm-apis/p4-m13-streaming-state/,MIGRATE,"HTML-heavy (503 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part4-llm-apis/p4-m14-reliability-security.md,Concept,"P4-M14 - Reliability, Cost & Security",/learning/ai-ml/part4-llm-apis/p4-m14-reliability-security/,concepts/,/learning/ai-ml/part4-llm-apis/p4-m14-reliability-security/,MIGRATE,"HTML-heavy (411 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part5-rag/p5-m15-embeddings-vectordb.md,Concept,P5-M15 - Embeddings & Vector Databases,/learning/ai-ml/part5-rag/p5-m15-embeddings-vectordb/,concepts/,/learning/ai-ml/part5-rag/p5-m15-embeddings-vectordb/,MIGRATE,"HTML-heavy (528 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part5-rag/p5-m16-chunking.md,Concept,P5-M16 - Chunking & Document Ingestion,/learning/ai-ml/part5-rag/p5-m16-chunking/,concepts/,/learning/ai-ml/part5-rag/p5-m16-chunking/,MIGRATE,"HTML-heavy (545 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part5-rag/p5-m17-retrieval-quality.md,Concept,P5-M17 - Retrieval Quality,/learning/ai-ml/part5-rag/p5-m17-retrieval-quality/,concepts/,/learning/ai-ml/part5-rag/p5-m17-retrieval-quality/,MIGRATE,"HTML-heavy (384 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part5-rag/p5-m18-rag-pipelines.md,Concept,"P5-M18 - RAG Pipelines, Grounding & Hallucination Reduction",/learning/ai-ml/part5-rag/p5-m18-rag-pipelines/,concepts/,/learning/ai-ml/part5-rag/p5-m18-rag-pipelines/,MIGRATE,"HTML-heavy (399 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part6-agents/p6-m19-agent-loops.md,Concept,P6-M19 - Agent Loops & LangGraph,/learning/ai-ml/part6-agents/p6-m19-agent-loops/,concepts/,/learning/ai-ml/part6-agents/p6-m19-agent-loops/,MIGRATE,"HTML-heavy (354 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part6-agents/p6-m20-tool-design.md,Concept,"P6-M20 - Tool Design, Workflow Patterns & When NOT to Use Agents",/learning/ai-ml/part6-agents/p6-m20-tool-design/,concepts/,/learning/ai-ml/part6-agents/p6-m20-tool-design/,MIGRATE,"HTML-heavy (354 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part6-agents/p6-m21-failure-handling.md,Concept,P6-M21 - Failure Handling in Agents,/learning/ai-ml/part6-agents/p6-m21-failure-handling/,concepts/,/learning/ai-ml/part6-agents/p6-m21-failure-handling/,MIGRATE,"HTML-heavy (365 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part6-agents/p6-m22-evaluation.md,Concept,P6-M22 - Evaluation Harnesses & Task Success Metrics,/learning/ai-ml/part6-agents/p6-m22-evaluation/,concepts/,/learning/ai-ml/part6-agents/p6-m22-evaluation/,MIGRATE,"HTML-heavy (390 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part7-production/p7-m23-fastapi-prod.md,Concept,P7-M23 - FastAPI Production Patterns,/learning/ai-ml/part7-production/p7-m23-fastapi-prod/,concepts/,/learning/ai-ml/part7-production/p7-m23-fastapi-prod/,MIGRATE,"HTML-heavy (307 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part7-production/p7-m24-docker-jobs.md,Concept,P7-M24 - Docker & Background Jobs,/learning/ai-ml/part7-production/p7-m24-docker-jobs/,concepts/,/learning/ai-ml/part7-production/p7-m24-docker-jobs/,MIGRATE,"HTML-heavy (274 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part7-production/p7-m25-auth-logging.md,Concept,"P7-M25 - Auth, Logging & Observability",/learning/ai-ml/part7-production/p7-m25-auth-logging/,concepts/,/learning/ai-ml/part7-production/p7-m25-auth-logging/,MIGRATE,"HTML-heavy (277 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part7-production/p7-m26-prompt-versioning.md,Concept,"P7-M26 - Prompt Versioning, Cost Monitoring & Caching",/learning/ai-ml/part7-production/p7-m26-prompt-versioning/,concepts/,/learning/ai-ml/part7-production/p7-m26-prompt-versioning/,MIGRATE,"HTML-heavy (355 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part7-production/p7-m27-mlops.md,Concept,P7-M27 - MLOps Foundations,/learning/ai-ml/part7-production/p7-m27-mlops/,concepts/,/learning/ai-ml/part7-production/p7-m27-mlops/,MIGRATE,"HTML-heavy (282 presentational tags) — migrate as .md, convert to MDX later"
_learning/ai-ml/part8-specialisation/p8-ta-ai-product-engineer.md,Concept,Track A - AI Product Engineer,/learning/ai-ml/part8-specialisation/p8-ta-ai-product-engineer/,concepts/,/learning/ai-ml/part8-specialisation/p8-ta-ai-product-engineer/,MIGRATE,Some inline HTML (55 tags)
_learning/ai-ml/part8-specialisation/p8-tb-llm-engineer.md,Concept,Track B - Applied ML / LLM Engineer,/learning/ai-ml/part8-specialisation/p8-tb-llm-engineer/,concepts/,/learning/ai-ml/part8-specialisation/p8-tb-llm-engineer/,MIGRATE,Some inline HTML (54 tags)
_learning/ai-ml/part8-specialisation/p8-tc-automation-engineer.md,Concept,Track C - AI Automation Engineer,/learning/ai-ml/part8-specialisation/p8-tc-automation-engineer/,concepts/,/learning/ai-ml/part8-specialisation/p8-tc-automation-engineer/,MIGRATE,Some inline HTML (54 tags)
_learning/ai-ml/part8-specialisation/p8-td-data-scientist.md,Concept,Track D - Data Scientist / Analyst,/learning/ai-ml/part8-specialisation/p8-td-data-scientist/,concepts/,/learning/ai-ml/part8-specialisation/p8-td-data-scientist/,MIGRATE,Some inline HTML (54 tags)
_learning/ai-ml/part9-portfolio/p9-capstone.md,Concept,"P9 - Capstone, Portfolio & Job-Readiness",/learning/ai-ml/part9-portfolio/p9-capstone/,concepts/,/learning/ai-ml/part9-portfolio/p9-capstone/,MIGRATE,Some inline HTML (99 tags)
_learning/backend/backend-roadmap.md,Roadmap,Backend Engineering Roadmap,/learning/backend/backend-roadmap/,tracks/,/learning/backend/backend-roadmap/,CONVERT,Becomes a track record + derived roadmap view; hand-built HTML retired
_learning/backend/m01-dns-tcp-tls.md,Concept,"M01 — DNS, TCP & TLS Deep Dive",/learning/backend/m01-dns-tcp-tls/,concepts/,/learning/backend/m01-dns-tcp-tls/,MIGRATE,"HTML-heavy (601 presentational tags) — migrate as .md, convert to MDX later"
_learning/backend/m02-http-servers.md,Concept,M02 — HTTP Deep Dive & Web Server Internals,/learning/backend/m02-http-servers/,concepts/,/learning/backend/m02-http-servers/,MIGRATE,"HTML-heavy (503 presentational tags) — migrate as .md, convert to MDX later"
_learning/backend/m03-rest.md,Concept,M03 — REST API Design,/learning/backend/m03-rest/,concepts/,/learning/backend/m03-rest/,MIGRATE,"HTML-heavy (673 presentational tags) — migrate as .md, convert to MDX later"
_learning/backend/m04-grpc.md,Concept,M04 — gRPC & Protocol Buffers Deep Dive,/learning/backend/m04-grpc/,concepts/,/learning/backend/m04-grpc/,MIGRATE,"HTML-heavy (664 presentational tags) — migrate as .md, convert to MDX later"
_learning/backend/m05-graphql.md,Concept,M05 — GraphQL & API Contracts,/learning/backend/m05-graphql/,concepts/,/learning/backend/m05-graphql/,MIGRATE,"HTML-heavy (1137 presentational tags) — migrate as .md, convert to MDX later"
_learning/backend/m06-sql-indexing.md,Concept,M06 — SQL & Indexing,/learning/backend/m06-sql-indexing/,concepts/,/learning/backend/m06-sql-indexing/,MIGRATE,"HTML-heavy (695 presentational tags) — migrate as .md, convert to MDX later"
_learning/backend/m07-nosql.md,Concept,"M07 — NoSQL: Redis, MongoDB & Cassandra",/learning/backend/m07-nosql/,concepts/,/learning/backend/m07-nosql/,MIGRATE,"HTML-heavy (1044 presentational tags) — migrate as .md, convert to MDX later"
_learning/backend/m09-auth-jwt.md,Concept,M09 — Authentication & Authorization,/learning/backend/m09-auth-jwt/,concepts/,/learning/backend/m09-auth-jwt/,MIGRATE,"HTML-heavy (862 presentational tags) — migrate as .md, convert to MDX later"
_learning/backend/m11-concurrency.md,Concept,M11 — Concurrency & Performance,/learning/backend/m11-concurrency/,concepts/,/learning/backend/m11-concurrency/,MIGRATE,"HTML-heavy (848 presentational tags) — migrate as .md, convert to MDX later"
_learning/backend/m13-messaging.md,Concept,M13 — Event-Driven Architecture,/learning/backend/m13-messaging/,concepts/,/learning/backend/m13-messaging/,MIGRATE,"HTML-heavy (747 presentational tags) — migrate as .md, convert to MDX later"
_learning/backend/m15-microservices.md,Concept,M15 — Microservices & Infrastructure,/learning/backend/m15-microservices/,concepts/,/learning/backend/m15-microservices/,MIGRATE,"HTML-heavy (748 presentational tags) — migrate as .md, convert to MDX later"
_learning/backend/m17-observability.md,Concept,M17 — Observability & Hardening,/learning/backend/m17-observability/,concepts/,/learning/backend/m17-observability/,MIGRATE,"HTML-heavy (721 presentational tags) — migrate as .md, convert to MDX later"
_learning/competitive-programming/index.md,Section index,Competitive Programming,/learning/competitive-programming/,(derived),/learning/competitive-programming/,REVIEW,"Mostly derivable from domain/track metadata; keep only bespoke prose | URL preserved — content largely derived, keep bespoke prose only"
_learning/competitive-programming/practice.md,Concept,Practice Plan,/learning/competitive-programming/practice/,concepts/,/learning/competitive-programming/practice/,MIGRATE,Stub (<40 lines) — set status accordingly
_learning/competitive-programming/strategies.md,Concept,Strategies,/learning/competitive-programming/strategies/,concepts/,/learning/competitive-programming/strategies/,MIGRATE,Stub (<40 lines) — set status accordingly
_learning/competitive-programming/topics.md,Concept,Competitive Programming Topics,/learning/competitive-programming/topics/,concepts/,/learning/competitive-programming/topics/,MIGRATE,Stub (<40 lines) — set status accordingly
_learning/data-plane/dpdk/dpdk-roadmap.md,Roadmap,DPDK Mastery Roadmap,/learning/data-plane/dpdk/dpdk-roadmap/,tracks/,/learning/data-plane/dpdk/dpdk-roadmap/,CONVERT,Becomes a track record + derived roadmap view; hand-built HTML retired
_learning/data-plane/dpdk/index.md,Section index,DPDK — Data Plane Development Kit,/learning/data-plane/dpdk/,(derived),/learning/data-plane/dpdk/,REVIEW,"Mostly derivable from domain/track metadata; keep only bespoke prose | URL preserved — content largely derived, keep bespoke prose only"
_learning/data-plane/dpdk/module-p1-foundation.md,Concept,"DPDK P1 — Foundation, Architecture & EAL",/learning/data-plane/dpdk/module-p1-foundation/,concepts/,/learning/data-plane/dpdk/module-p1-foundation/,MIGRATE,Some inline HTML (157 tags)
_learning/data-plane/dpdk/module-p1-memory.md,Concept,"DPDK P1 — Hugepages, mempool & mbuf",/learning/data-plane/dpdk/module-p1-memory/,concepts/,/learning/data-plane/dpdk/module-p1-memory/,MIGRATE,"HTML-heavy (203 presentational tags) — migrate as .md, convert to MDX later"
_learning/data-plane/dpdk/module-p2-pmd.md,Concept,DPDK P2 — Poll Mode Drivers & Port Config,/learning/data-plane/dpdk/module-p2-pmd/,concepts/,/learning/data-plane/dpdk/module-p2-pmd/,MIGRATE,"HTML-heavy (241 presentational tags) — migrate as .md, convert to MDX later"
_learning/data-plane/dpdk/module-p2-rings.md,Concept,"DPDK P2 — rte_ring, Distributor & App Models",/learning/data-plane/dpdk/module-p2-rings/,concepts/,/learning/data-plane/dpdk/module-p2-rings/,MIGRATE,Some inline HTML (193 tags)
_learning/data-plane/dpdk/module-p3-advanced.md,Concept,"DPDK P3 — Multi-Process, rte_flow & NUMA",/learning/data-plane/dpdk/module-p3-advanced/,concepts/,/learning/data-plane/dpdk/module-p3-advanced/,MIGRATE,Some inline HTML (200 tags)
_learning/data-plane/dpdk/module-p3-perf.md,Concept,"DPDK P3 — Packet Patterns, Tuning & Debugging",/learning/data-plane/dpdk/module-p3-perf/,concepts/,/learning/data-plane/dpdk/module-p3-perf/,MIGRATE,"HTML-heavy (225 presentational tags) — migrate as .md, convert to MDX later"
_learning/data-plane/index.md,Section index,Data Plane,/learning/data-plane/,(derived),/learning/data-plane/,REVIEW,"Mostly derivable from domain/track metadata; keep only bespoke prose | URL preserved — content largely derived, keep bespoke prose only"
_learning/data-plane/ngfw/01-ngfw-first-principles.md,Concept,NGFW from First Principles,/learning/data-plane/ngfw/first-principles/,concepts/,/learning/data-plane/ngfw/first-principles/,MIGRATE,
_learning/data-plane/ngfw/02-architecture-overview.md,Concept,NGFW Architecture Overview,/learning/data-plane/ngfw/architecture-overview/,concepts/,/learning/data-plane/ngfw/architecture-overview/,MIGRATE,
_learning/data-plane/ngfw/03-vpp-data-plane.md,Concept,The VPP Data Plane,/learning/data-plane/ngfw/vpp-data-plane/,concepts/,/learning/data-plane/ngfw/vpp-data-plane/,MIGRATE,
_learning/data-plane/ngfw/04-packet-walkthrough.md,Concept,Packet Walkthrough,/learning/data-plane/ngfw/packet-walkthrough/,concepts/,/learning/data-plane/ngfw/packet-walkthrough/,MIGRATE,
_learning/data-plane/ngfw/05-ips-integration.md,Concept,IPS Integration (Snort + DAQ),/learning/data-plane/ngfw/ips-integration/,concepts/,/learning/data-plane/ngfw/ips-integration/,MIGRATE,
_learning/data-plane/ngfw/06-ipsec-vpn.md,Concept,IPsec / VPN,/learning/data-plane/ngfw/ipsec-vpn/,concepts/,/learning/data-plane/ngfw/ipsec-vpn/,MIGRATE,
_learning/data-plane/ngfw/07-management-plane.md,Concept,Management Plane,/learning/data-plane/ngfw/management-plane/,concepts/,/learning/data-plane/ngfw/management-plane/,MIGRATE,
_learning/data-plane/ngfw/08-contributor-guide.md,Concept,Contributor's Guide,/learning/data-plane/ngfw/contributor-guide/,concepts/,/learning/data-plane/ngfw/contributor-guide/,MIGRATE,
_learning/data-plane/ngfw/index.md,Section index,NGFW (Next-Generation Firewall),/learning/data-plane/ngfw/,(derived),/learning/data-plane/ngfw/,REVIEW,"Mostly derivable from domain/track metadata; keep only bespoke prose | URL preserved — content largely derived, keep bespoke prose only"
_learning/data-plane/projects/index.md,Section index,Dataplane Learning — Hands-on C Projects,/learning/data-plane/projects/,(derived),/learning/data-plane/projects/,REVIEW,"Mostly derivable from domain/track metadata; keep only bespoke prose | URL preserved — content largely derived, keep bespoke prose only"
_learning/data-plane/projects/module-01-config-parser.md,Concept,Module 01 — Config Parser,/learning/data-plane/projects/module-01-config-parser/,concepts/,/learning/data-plane/projects/module-01-config-parser/,MIGRATE,
_learning/data-plane/projects/module-02-logger.md,Concept,Module 02 — Logger,/learning/data-plane/projects/module-02-logger/,concepts/,/learning/data-plane/projects/module-02-logger/,MIGRATE,
_learning/data-plane/projects/module-03-ring-buffer.md,Concept,"Module 03 — Ring Buffer (SPSC, lock-free)",/learning/data-plane/projects/module-03-ring-buffer/,concepts/,/learning/data-plane/projects/module-03-ring-buffer/,MIGRATE,
_learning/data-plane/projects/module-04-hash-map.md,Concept,Module 04 — Hash Map,/learning/data-plane/projects/module-04-hash-map/,concepts/,/learning/data-plane/projects/module-04-hash-map/,MIGRATE,
_learning/data-plane/projects/module-05-packet-structs.md,Concept,Module 05 — Packet Header Structs & Parser,/learning/data-plane/projects/module-05-packet-structs/,concepts/,/learning/data-plane/projects/module-05-packet-structs/,MIGRATE,
_learning/data-plane/projects/module-06-dns-parser.md,Concept,Module 06 — DNS Parser,/learning/data-plane/projects/module-06-dns-parser/,concepts/,/learning/data-plane/projects/module-06-dns-parser/,MIGRATE,
_learning/data-plane/projects/module-07-tls-sni.md,Concept,Module 07 — TLS SNI Extractor,/learning/data-plane/projects/module-07-tls-sni/,concepts/,/learning/data-plane/projects/module-07-tls-sni/,MIGRATE,
_learning/data-plane/projects/module-08-dpdk-eal-init.md,Concept,Module 08 — DPDK EAL Initialization,/learning/data-plane/projects/module-08-dpdk-eal-init/,concepts/,/learning/data-plane/projects/module-08-dpdk-eal-init/,MIGRATE,
_learning/data-plane/projects/module-09-mempool-mbuf.md,Concept,Module 09 — Mempool + mbuf,/learning/data-plane/projects/module-09-mempool-mbuf/,concepts/,/learning/data-plane/projects/module-09-mempool-mbuf/,MIGRATE,
_learning/data-plane/projects/module-10-port-init.md,Concept,Module 10 — NIC Port Initialization,/learning/data-plane/projects/module-10-port-init/,concepts/,/learning/data-plane/projects/module-10-port-init/,MIGRATE,
_learning/data-plane/projects/module-11-pipeline.md,Concept,Module 11 — Multi-lcore RX/TX Pipeline,/learning/data-plane/projects/module-11-pipeline/,concepts/,/learning/data-plane/projects/module-11-pipeline/,MIGRATE,
_learning/data-plane/projects/module-12-rte-hash.md,Concept,Module 12 — rte_hash CRUD,/learning/data-plane/projects/module-12-rte-hash/,concepts/,/learning/data-plane/projects/module-12-rte-hash/,MIGRATE,
_learning/data-plane/projects/module-13-atomic-stats.md,Concept,Module 13 — Atomic Counters + Per-lcore Stats,/learning/data-plane/projects/module-13-atomic-stats/,concepts/,/learning/data-plane/projects/module-13-atomic-stats/,MIGRATE,
_learning/data-plane/projects/module-14-numa-alloc.md,Concept,Module 14 — NUMA-aware Memory Allocation,/learning/data-plane/projects/module-14-numa-alloc/,concepts/,/learning/data-plane/projects/module-14-numa-alloc/,MIGRATE,
_learning/data-plane/projects/module-15-hyperscan-compile.md,Concept,Module 15 — Hyperscan: Pattern Compilation,/learning/data-plane/projects/module-15-hyperscan-compile/,concepts/,/learning/data-plane/projects/module-15-hyperscan-compile/,MIGRATE,
_learning/data-plane/projects/module-16-hyperscan-scan.md,Concept,Module 16 — Hyperscan: Scratch Management + Scanning,/learning/data-plane/projects/module-16-hyperscan-scan/,concepts/,/learning/data-plane/projects/module-16-hyperscan-scan/,MIGRATE,
