type,index,text,start,end,duration,importance,confidence,sentence_index
word,44,single,13.126,13.426,0.300,low,0.813,2
word,45,packet.,13.466,13.806,0.340,low,0.952,2
word,46,Let's,14.567,14.727,0.160,low,0.733,3
word,47,see,14.747,14.827,0.080,low,0.978,3
word,48,what,14.867,14.968,0.101,low,0.841,3
word,49,actually,15.028,15.328,0.300,low,0.852,3
word,50,happens.,15.368,15.668,0.300,low,0.834,3
word,51,A,16.469,16.489,0.020,low,0.718,4
word,52,packet,16.549,16.850,0.301,low,0.965,4
word,53,arrives,16.870,17.110,0.240,low,0.712,4
word,54,at,17.150,17.190,0.040,low,0.698,4
word,55,the,17.230,17.290,0.060,low,0.998,4
word,56,network,17.330,17.651,0.321,low,0.818,4
word,57,card.,17.671,17.911,0.240,low,0.875,4
word,58,Instead,18.492,18.772,0.280,low,0.908,5
word,59,of,18.812,18.872,0.060,low,0.879,5
word,60,your,18.912,19.012,0.100,low,0.903,5
word,61,application,19.032,19.513,0.481,low,0.899,5
word,62,receiving,19.553,19.913,0.360,low,0.876,5
word,63,it,19.973,20.013,0.040,low,0.964,5
word,64,"immediately,",20.093,20.614,0.521,low,0.915,5
word,65,the,21.154,21.255,0.101,low,0.838,5
word,66,network,21.295,21.655,0.360,low,0.803,5
word,67,card,21.675,21.895,0.220,low,0.918,5
word,68,first,21.955,22.196,0.241,low,0.839,5
word,69,raises,22.256,22.576,0.320,low,0.872,5
word,70,an,22.596,22.816,0.220,medium,0.652,5
word,71,interrupt,22.876,23.277,0.401,low,0.973,5
word,72,to,23.297,23.397,0.100,low,0.797,5
word,73,tell,23.437,23.577,0.140,low,0.940,5
word,74,the,23.617,23.697,0.080,low,0.902,5
word,75,"CPU,",23.737,24.138,0.401,high,0.834,5
word,76,a,24.758,24.799,0.041,low,0.999,5
word,77,packet,24.839,25.099,0.260,low,0.957,5
word,78,has,25.139,25.219,0.080,low,0.973,5
word,79,arrived.,25.259,26.140,0.881,low,0.819,5
word,80,The,26.140,26.340,0.200,low,0.828,6
word,81,CPU,26.380,26.781,0.401,medium,0.729,6
word,82,stops,26.821,27.081,0.260,low,0.988,6
word,83,whatever,27.181,27.522,0.341,low,0.849,6
word,84,it,27.582,27.622,0.040,low,0.961,6
word,85,was,27.682,27.782,0.100,low,0.712,6
word,86,"doing,",27.822,28.042,0.220,low,0.785,6
word,87,switches,28.303,28.643,0.340,low,0.941,6
word,88,into,28.683,28.843,0.160,low,0.868,6
word,89,kernel,28.883,29.184,0.301,low,0.545,6
word,90,"mode,",29.204,29.444,0.240,low,0.796,6
word,91,and,29.584,29.664,0.080,low,0.833,6
word,92,starts,29.724,30.025,0.301,low,0.903,6
word,93,running,30.085,30.305,0.220,low,0.761,6
word,94,the,30.345,30.405,0.060,low,0.993,6
word,95,network,30.465,30.805,0.340,low,0.966,6
word,96,driver.,30.846,31.166,0.320,low,0.786,6
word,97,That,32.027,32.267,0.240,medium,0.864,7
word,98,interruption,32.367,32.808,0.441,low,0.919,7
word,99,alone,32.868,33.168,0.300,low,0.925,7
word,100,has,33.228,33.368,0.140,low,0.890,7
word,101,a,33.429,33.449,0.020,low,0.978,7
word,102,cost.,33.489,33.789,0.300,medium,0.957,7
word,103,"Next,",34.690,34.930,0.240,medium,0.807,8
word,104,the,35.171,35.271,0.100,low,0.849,8
word,105,packet,35.311,35.611,0.300,low,0.948,8
word,106,travels,35.651,35.931,0.280,low,0.862,8
word,107,through,35.972,36.152,0.180,low,0.858,8
word,108,multiple,36.212,36.652,0.440,low,0.822,8
word,109,layers,36.692,36.933,0.241,low,0.861,8
word,110,of,36.973,37.033,0.060,low,0.925,8
word,111,the,37.053,37.133,0.080,low,0.833,8
word,112,Linux,37.173,37.453,0.280,low,0.716,8
word,113,networking,37.513,37.954,0.441,low,0.858,8
word,114,stack.,37.994,38.294,0.300,low,0.899,8
word,115,During,39.075,39.315,0.240,medium,0.511,9
word,116,this,39.355,39.516,0.161,low,0.856,9
word,117,"journey,",39.556,39.856,0.300,low,0.715,9
word,118,the,40.036,40.136,0.100,low,0.794,9
word,119,packet,40.176,40.477,0.301,low,0.956,9
word,120,is,40.537,40.617,0.080,low,0.534,9
word,121,wrapped,40.677,40.937,0.260,low,0.886,9
word,122,in,40.977,41.057,0.080,low,0.826,9
word,123,kernel,41.118,41.438,0.320,low,0.668,9
word,124,data,41.458,41.698,0.240,low,0.742,9
word,125,"structures,",41.718,42.179,0.461,low,0.780,9
word,126,"inspected,",42.439,43.000,0.561,medium,0.942,9
word,127,and,43.500,43.580,0.080,low,0.988,9
word,128,often,43.681,43.901,0.220,low,0.907,9
word,129,copied,43.981,44.321,0.340,low,0.939,9
word,130,into,44.361,44.542,0.181,low,0.824,9
word,131,different,44.602,44.942,0.340,low,0.923,9
word,132,memory,44.982,45.282,0.300,low,0.859,9
word,133,buffers,45.322,45.703,0.381,low,0.920,9
word,134,before,45.803,46.063,0.260,low,0.901,9
word,135,it,46.123,46.163,0.040,low,0.983,9
word,136,finally,46.244,46.644,0.400,low,0.718,9
word,137,reaches,46.724,47.004,0.280,low,0.949,9
word,138,your,47.044,47.145,0.101,low,0.826,9
word,139,application.,47.185,47.705,0.520,low,0.838,9
word,140,And,48.466,48.546,0.080,low,0.923,10
word,141,that's,48.586,48.847,0.261,low,0.750,10
word,142,another,48.967,49.287,0.320,low,0.831,10
word,143,source,49.347,49.567,0.220,low,0.929,10
word,144,of,49.607,49.668,0.061,low,0.997,10
word,145,overhead,49.768,50.108,0.340,low,0.912,10
word,146,–,50.128,50.489,0.361,high,0.924,10
word,147,memory,50.509,50.809,0.300,low,0.924,10
word,148,copies.,50.849,51.790,0.941,low,0.923,10
word,149,Copying,51.790,52.211,0.421,low,0.883,11
word,150,thousands,52.291,52.812,0.521,low,0.810,11
word,151,or,53.032,53.093,0.061,low,0.974,11
word,152,even,53.173,53.313,0.140,low,0.987,11
word,153,millions,53.353,53.814,0.461,low,0.802,11
word,154,of,53.854,53.914,0.060,low,0.968,11
word,155,packets,53.974,54.315,0.341,low,0.996,11
word,156,every,54.535,54.736,0.201,low,0.790,11
word,157,second,54.796,55.117,0.321,low,0.710,11
word,158,consumes,55.257,55.678,0.421,low,0.939,11
word,159,valuable,55.718,56.219,0.501,low,0.891,11
word,160,CPU,56.259,56.660,0.401,medium,0.748,11
word,161,cycles,56.680,57.080,0.400,low,0.776,11
word,162,and,57.281,57.361,0.080,low,0.860,11
word,163,memory,57.441,57.742,0.301,low,0.958,11
word,164,bandwidth.,57.802,58.223,0.421,low,0.890,11
word,165,"Finally,",59.024,59.445,0.421,medium,0.918,12
word,166,your,59.685,59.826,0.141,low,0.973,12
word,167,application,59.886,60.347,0.461,low,0.946,12
word,168,has,60.387,60.527,0.140,low,0.931,12
word,169,to,60.567,60.667,0.100,low,0.931,12
word,170,wake,60.727,60.968,0.241,low,0.948,12
word,171,up,61.048,61.108,0.060,low,0.998,12
word,172,to,61.168,61.248,0.080,low,0.998,12
word,173,process,61.289,61.629,0.340,low,0.776,12
word,174,the,61.669,61.729,0.060,low,0.992,12
word,175,packet.,61.769,62.090,0.321,low,0.994,12
word,176,That,62.731,62.872,0.141,low,0.808,13
word,177,means,62.932,63.132,0.200,low,0.862,13
word,178,another,63.152,63.473,0.321,low,0.889,13
word,179,context,63.533,63.914,0.381,low,0.962,13
word,180,"switch,",63.954,64.174,0.220,low,0.888,13
word,181,from,64.495,64.635,0.140,low,0.835,13
word,182,the,64.655,64.735,0.080,low,0.833,13
word,183,kernel,64.775,65.096,0.321,low,0.724,13
word,184,back,65.296,65.477,0.181,low,0.726,13
word,185,to,65.517,65.597,0.080,low,0.828,13
word,186,user,65.717,65.938,0.221,low,0.802,13
word,187,space.,65.958,66.238,0.280,low,0.973,13
word,188,Context,66.879,67.320,0.441,medium,0.974,14
word,189,switches,67.360,67.681,0.321,low,0.717,14
word,190,save,67.781,68.042,0.261,medium,0.900,14
word,191,and,68.102,68.182,0.080,low,0.857,14
word,192,restore,68.242,68.643,0.401,low,0.726,14
word,193,CPU,68.663,69.064,0.401,medium,0.772,14
word,194,"state,",69.084,69.364,0.280,low,0.874,14
word,195,flush,69.645,69.905,0.260,low,0.883,14
word,196,"caches,",69.945,70.386,0.441,low,0.918,14
word,197,and,70.627,70.707,0.080,low,0.914,14
word,198,add,70.867,71.028,0.161,low,0.985,14
word,199,more,71.088,71.288,0.200,low,0.934,14
word,200,latency.,71.328,72.310,0.982,low,0.910,14
word,201,Now,72.310,72.751,0.441,medium,0.781,15
word,202,imagine,72.811,73.132,0.321,low,0.783,15
word,203,this,73.152,73.312,0.160,low,0.781,15
word,204,happening,73.372,73.713,0.341,low,0.905,15
word,205,not,73.753,73.933,0.180,low,0.900,15
word,206,"once,",73.953,74.354,0.401,medium,0.889,15
word,207,but,74.654,74.775,0.121,low,0.944,15
word,208,millions,74.935,75.356,0.421,low,0.778,15
word,209,of,75.416,75.476,0.060,low,0.998,15
word,210,times,75.556,75.857,0.301,low,0.833,15
word,211,every,76.097,76.317,0.220,low,0.895,15
word,212,second.,76.398,77.600,1.202,medium,0.886,15
word,213,"Interrupts,",77.620,78.061,0.441,low,0.859,16
word,214,memory,78.401,78.702,0.301,medium,0.930,16
word,215,"copies,",78.762,79.163,0.401,low,0.909,16
word,216,context,79.383,79.824,0.441,low,0.919,16
word,217,switches.,79.844,80.205,0.361,low,0.887,16
word,218,"Individually,",80.966,81.527,0.561,medium,0.898,17
word,219,they,81.567,81.708,0.141,low,0.844,17
word,220,seem,81.748,81.988,0.240,low,0.738,17
word,221,small.,82.048,82.349,0.301,low,0.997,17
word,222,"Together,",82.810,83.170,0.360,low,0.995,18
word,223,they,83.210,83.551,0.341,low,0.714,18
word,224,become,83.571,83.791,0.220,low,0.840,18
word,225,the,83.811,83.932,0.121,low,0.681,18
word,226,biggest,84.012,84.372,0.360,low,0.794,18
word,227,bottleneck,84.473,84.934,0.461,low,0.779,18
word,228,in,84.994,85.054,0.060,low,0.900,18
word,229,high-performance,85.114,85.775,0.661,low,0.879,18
word,230,networking.,85.835,86.336,0.501,low,0.929,18
word,231,This,87.057,87.198,0.141,low,0.874,19
word,232,is,87.258,87.318,0.060,low,0.997,19
word,233,where,87.358,87.518,0.160,low,0.926,19
word,234,DPDK,87.558,88.079,0.521,medium,0.738,19
word,235,changes,88.119,88.460,0.341,low,0.810,19
word,236,everything.,88.500,89.522,1.022,low,0.891,19
word,237,Instead,89.522,89.943,0.421,low,0.890,20
word,238,of,89.983,90.043,0.060,low,0.903,20
word,239,waiting,90.083,90.364,0.281,low,0.718,20
word,240,for,90.404,90.504,0.100,low,0.884,20
word,241,"interrupts,",90.584,90.985,0.401,low,0.871,20
word,242,DPDK,91.265,91.826,0.561,high,0.707,20
word,243,continuously,91.886,92.548,0.662,low,0.805,20
word,244,polls,92.628,92.928,0.300,low,0.759,20
word,245,the,92.969,93.049,0.080,low,0.832,20
word,246,network,93.089,93.449,0.360,low,0.934,20
word,247,card.,93.469,93.690,0.221,low,0.853,20
word,248,It,94.351,94.431,0.080,low,0.705,21
word,249,maps,94.491,94.752,0.261,low,0.822,21
word,250,packet,94.852,95.153,0.301,low,0.994,21
word,251,buffers,95.193,95.533,0.340,low,0.919,21
word,252,directly,95.593,95.954,0.361,low,0.888,21
word,253,into,95.994,96.155,0.161,low,0.913,21
word,254,user,96.275,96.515,0.240,low,0.783,21
word,255,space,96.535,96.796,0.261,low,0.900,21
word,256,memory,96.836,97.156,0.320,low,0.922,21
word,257,using,97.397,97.597,0.200,low,0.918,21
word,258,huge,97.677,97.998,0.321,low,0.881,21
word,259,"pages,",98.038,98.359,0.321,medium,0.943,21
word,260,allowing,99.020,99.340,0.320,medium,0.784,21
word,261,the,99.381,99.461,0.080,low,0.536,21
word,262,application,99.541,100.022,0.481,low,0.885,21
word,263,to,100.062,100.142,0.080,low,0.994,21
word,264,access,100.242,100.543,0.301,low,0.688,21
word,265,packets,100.603,100.984,0.381,low,0.918,21
word,266,without,101.124,101.444,0.320,low,0.879,21
word,267,the,101.464,101.585,0.121,low,0.696,21
word,268,traditional,101.625,102.086,0.461,low,0.792,21
word,269,kernel,102.206,102.446,0.240,low,0.593,21
word,270,networking,102.506,102.987,0.481,low,0.861,21
word,271,stack.,103.007,103.288,0.281,low,0.839,21
word,272,The,103.849,103.929,0.080,low,0.922,22
word,273,result?,103.969,104.290,0.321,low,0.914,22
word,274,No,104.971,105.171,0.200,high,0.889,23
word,275,per-packet,105.232,105.773,0.541,low,0.938,23
word,276,"interrupts,",105.813,106.193,0.380,low,0.837,23
word,277,no,106.574,106.774,0.200,high,0.905,23
word,278,unnecessary,106.895,107.396,0.501,low,0.963,23
word,279,memory,107.456,107.736,0.280,low,0.939,23
word,280,"copies,",107.776,108.137,0.361,low,0.978,23
word,281,almost,108.638,108.979,0.341,medium,0.950,23
word,282,no,109.139,109.339,0.200,medium,0.917,23
word,283,context,109.419,109.840,0.421,low,0.920,23
word,284,switches.,109.860,110.802,0.942,low,0.862,23
word,285,The,110.802,110.982,0.180,low,0.945,24
word,286,CPU,111.023,111.443,0.420,high,0.844,24
word,287,spends,111.463,111.744,0.281,low,0.842,24
word,288,its,111.784,111.904,0.120,low,0.821,24
word,289,time,111.965,112.185,0.220,low,0.958,24
word,290,processing,112.245,112.726,0.481,low,0.842,24
word,291,packets,112.786,113.167,0.381,low,0.919,24
word,292,instead,113.388,113.668,0.280,low,0.758,24
word,293,of,113.708,113.748,0.040,low,0.876,24
word,294,managing,113.828,114.209,0.381,low,0.896,24
word,295,operating,114.249,114.730,0.481,low,0.855,24
word,296,system,114.770,115.071,0.301,low,0.774,24
word,297,overhead.,115.171,115.532,0.361,low,0.838,24
word,298,That's,116.354,116.594,0.240,low,0.870,25
word,299,why,116.634,116.775,0.141,low,0.970,25
word,300,technologies,116.835,117.436,0.601,low,0.800,25
word,301,like,117.496,117.637,0.141,low,0.912,25
word,302,DPDK,117.697,118.318,0.621,high,0.815,25
word,303,power,118.458,118.739,0.281,low,0.949,25
word,304,high-performance,118.819,119.501,0.682,low,0.892,25
word,305,"firewalls,",119.561,120.102,0.541,low,0.912,25
word,306,load,120.402,120.623,0.221,low,0.708,25
word,307,"balancers,",120.663,121.184,0.521,low,0.834,25
word,308,telecom,121.645,122.046,0.401,medium,0.830,25
word,309,"systems,",122.086,122.487,0.401,low,0.850,25
word,310,and,122.727,122.828,0.101,low,0.672,25
word,311,modern,122.908,123.329,0.421,low,0.883,25
word,312,cloud,123.389,123.710,0.321,low,0.903,25
word,313,networking.,123.730,124.231,0.501,low,0.891,25
word,314,Where,124.872,125.032,0.160,low,0.929,26
word,315,processing,125.052,125.513,0.461,low,0.754,26
word,316,millions,125.614,125.994,0.380,low,0.792,26
word,317,of,126.055,126.095,0.040,low,1.000,26
word,318,packets,126.155,126.495,0.340,low,0.900,26
word,319,per,126.536,126.676,0.140,low,0.965,26
word,320,second,126.736,127.077,0.341,low,0.919,26
word,321,isn't,127.297,127.478,0.181,low,0.949,26
word,322,just,127.518,127.698,0.180,low,0.813,26
word,323,an,127.758,127.818,0.060,low,0.712,26
word,324,"optimization,",127.878,128.560,0.682,low,0.848,26
word,325,it's,128.941,129.041,0.100,low,0.868,26
word,326,a,129.061,129.081,0.020,low,0.973,26
word,327,requirement.,129.181,130.704,1.523,low,0.819,26
word,328,Once,130.724,130.865,0.141,low,0.830,27
word,329,you,130.905,131.025,0.120,low,0.947,27
word,330,understand,131.065,131.486,0.421,low,0.726,27
word,331,where,131.586,131.767,0.181,low,0.961,27
word,332,the,131.807,131.867,0.060,low,0.944,27
word,333,time,131.927,132.107,0.180,low,0.960,27
word,334,is,132.148,132.228,0.080,low,0.756,27
word,335,actually,132.288,132.609,0.321,low,0.835,27
word,336,"spent,",132.669,132.989,0.320,low,0.943,27
word,337,the,133.330,133.410,0.080,low,0.986,27
word,338,performance,133.450,133.951,0.501,low,0.939,27
word,339,difference,134.032,134.412,0.380,low,0.868,27
word,340,becomes,134.493,134.793,0.300,low,0.904,27
word,341,obvious.,134.813,135.675,0.862,low,0.846,27
sentence,0,"Have you ever wondered why modern servers can have a 100 gigabit network card, but still struggle to process every packet at line rate?",0.031,6.718,6.687,,,0
sentence,1,The answer isn't that Linux is slow.,7.459,9.041,1.582,,,1
sentence,2,It's that the traditional networking path does a lot of work for every single packet.,9.602,13.806,4.204,,,2
sentence,3,Let's see what actually happens.,14.567,15.668,1.101,,,3
sentence,4,A packet arrives at the network card.,16.469,17.911,1.442,,,4
sentence,5,"Instead of your application receiving it immediately, the network card first raises an interrupt to tell the CPU, a packet has arrived.",18.492,26.140,7.648,,,5
sentence,6,"The CPU stops whatever it was doing, switches into kernel mode, and starts running the network driver.",26.140,31.166,5.026,,,6
sentence,7,That interruption alone has a cost.,32.027,33.789,1.762,,,7
sentence,8,"Next, the packet travels through multiple layers of the Linux networking stack.",34.690,38.294,3.604,,,8
sentence,9,"During this journey, the packet is wrapped in kernel data structures, inspected, and often copied into different memory buffers before it finally reaches your application.",39.075,47.705,8.630,,,9
sentence,10,And that's another source of overhead – memory copies.,48.466,51.790,3.324,,,10
sentence,11,Copying thousands or even millions of packets every second consumes valuable CPU cycles and memory bandwidth.,51.790,58.223,6.433,,,11
sentence,12,"Finally, your application has to wake up to process the packet.",59.024,62.090,3.066,,,12
sentence,13,"That means another context switch, from the kernel back to user space.",62.731,66.238,3.507,,,13
sentence,14,"Context switches save and restore CPU state, flush caches, and add more latency.",66.879,72.310,5.431,,,14
sentence,15,"Now imagine this happening not once, but millions of times every second.",72.310,77.600,5.290,,,15
sentence,16,"Interrupts, memory copies, context switches.",77.620,80.205,2.585,,,16
sentence,17,"Individually, they seem small.",80.966,82.349,1.383,,,17
sentence,18,"Together, they become the biggest bottleneck in high-performance networking.",82.810,86.336,3.526,,,18
sentence,19,This is where DPDK changes everything.,87.057,89.522,2.465,,,19
sentence,20,"Instead of waiting for interrupts, DPDK continuously polls the network card.",89.522,93.690,4.168,,,20
sentence,21,"It maps packet buffers directly into user space memory using huge pages, allowing the application to access packets without the traditional kernel networking stack.",94.351,103.288,8.937,,,21
sentence,22,The result?,103.849,104.290,0.441,,,22
sentence,23,"No per-packet interrupts, no unnecessary memory copies, almost no context switches.",104.971,110.802,5.831,,,23
sentence,24,The CPU spends its time processing packets instead of managing operating system overhead.,110.802,115.532,4.730,,,24
sentence,25,"That's why technologies like DPDK power high-performance firewalls, load balancers, telecom systems, and modern cloud networking.",116.354,124.231,7.877,,,25
sentence,26,"Where processing millions of packets per second isn't just an optimization, it's a requirement.",124.872,130.704,5.832,,,26
sentence,27,"Once you understand where the time is actually spent, the performance difference becomes obvious.",130.724,135.675,4.951,,,27
pause,0,short,3.795,4.075,0.280,,,
pause,1,long,6.718,7.459,0.741,,,
pause,2,short,9.041,9.602,0.561,,,
pause,3,long,13.806,14.567,0.761,,,
pause,4,long,15.668,16.469,0.801,,,
pause,5,short,17.911,18.492,0.581,,,
pause,6,short,20.614,21.154,0.540,,,
pause,7,long,24.138,24.758,0.620,,,
pause,8,short,28.042,28.303,0.261,,,
pause,9,long,31.166,32.027,0.861,,,
pause,10,long,33.789,34.690,0.901,,,
pause,11,long,38.294,39.075,0.781,,,
pause,12,short,42.179,42.439,0.260,,,
pause,13,short,43.000,43.500,0.500,,,
pause,14,long,47.705,48.466,0.761,,,
pause,15,long,58.223,59.024,0.801,,,
pause,16,long,62.090,62.731,0.641,,,
pause,17,short,64.174,64.495,0.321,,,
pause,18,long,66.238,66.879,0.641,,,
pause,19,short,69.364,69.645,0.281,,,
pause,20,short,74.354,74.654,0.300,,,
pause,21,short,78.061,78.401,0.340,,,
pause,22,long,80.205,80.966,0.761,,,
pause,23,short,82.349,82.810,0.461,,,
pause,24,long,86.336,87.057,0.721,,,
pause,25,short,90.985,91.265,0.280,,,
pause,26,long,93.690,94.351,0.661,,,
pause,27,long,98.359,99.020,0.661,,,
pause,28,short,103.288,103.849,0.561,,,
pause,29,long,104.290,104.971,0.681,,,
pause,30,short,106.193,106.574,0.381,,,
pause,31,short,108.137,108.638,0.501,,,
pause,32,long,115.532,116.354,0.822,,,
pause,33,short,120.102,120.402,0.300,,,
pause,34,short,121.184,121.645,0.461,,,
pause,35,long,124.231,124.872,0.641,,,
pause,36,short,128.560,128.941,0.381,,,
pause,37,short,132.989,133.330,0.341,,,
